date,time,country,continent,interaction_type,job_type,feature_requested,age_group,gender,ip_address,request_method,timestamp
11/29/2024,11:37:27,Australia,Oceania,Demo Request,Software Developer,scheduled_demo,65+,Other,190.189.109.172,POST,11/29/2024 11:37
4/10/2025,4:38:09,South Korea,Asia,Event Request,DevOps Engineer,ai_virtual_assistant,45-54,Male,197.226.52.162,GET,4/10/2025 4:38
4/13/2025,2:46:35,India,Asia,Job Placement,DevOps Engineer,scheduled_demo,25-34,Female,199.237.181.110,POST,4/13/2025 2:46
6/4/2024,8:23:10,Netherlands,Europe,AI Assistant Request, DevOps Engineer,scheduled_demo,25-34,Female,52.76.12.203,POST,6/4/2024 8:23
4/20/2025,6:29:09,Italy,Europe,Event Request,Project Manager,promo_event,65+,Other,29.97.70.45,GET,4/20/2025 6:29
11/25/2024,20:56:31,Fiji,Oceania,Job Placement,DevOps Engineer,report_generator,55-64,Other,43.3.166.80,POST,11/25/2024 20:56
4/26/2025,13:26:42,Italy,Europe,Demo Request,Project Manager,ai_virtual_assistant,45-54,Male,124.193.155.15,POST,4/26/2025 13:26
5/12/2025,13:09:11,Peru,South America,Event Request,DevOps Engineer,ai_virtual_assistant,25-34,Other,85.171.77.178,GET,5/12/2025 13:09
12/29/2024,8:22:36,Indonesia,Asia,AI Assistant Request,Data Analyst,report_generator,25-34,Male,30.157.62.109,GET,12/29/2024 8:22
1/9/2025,4:04:20,South Africa,Africa,AI Assistant Request,DevOps Engineer,ai_virtual_assistant,18-24,Other,75.105.27.123,POST,1/9/2025 4:04
5/24/2024,2:04:19,Samoa,Oceania,Job Placement,DevOps Engineer,report_generator,65+,Female,214.170.253.254,GET,5/24/2024 2:04
10/13/2024,0:09:50,Argentina,South America,Event Request,System Admin,scheduled_demo,65+,Other,86.161.43.133,GET,10/13/2024 0:09
5/4/2025,6:14:20,Cuba,North America,Demo Request,Software Developer,job_posting,35-44,Female,190.49.63.75,POST,5/4/2025 6:14
4/8/2025,13:43:39,Papua New Guinea,Oceania,Job Placement,Software Developer,report_generator,55-64,Other,109.162.22.252,GET,4/8/2025 13:43
4/30/2025,17:59:39,Papua New Guinea,Oceania,Event Request,Software Developer,promo_event,55-64,Female,171.217.7.89,GET,4/30/2025 17:59
7/22/2024,2:58:22,Ghana,Africa,Job Placement,System Admin,job_posting,65+,Other,73.231.154.93,GET,7/22/2024 2:58
8/10/2024,15:57:08,USA,North America,Event Request,Software Developer,ai_virtual_assistant,55-64,Female,88.223.124.208,GET,8/10/2024 15:57
10/24/2024,7:08:12,Fiji,Oceania,Job Placement,Software Developer,report_generator,18-24,Other,102.233.132.134,GET,10/24/2024 7:08
10/9/2024,21:03:04,Kenya,Africa,Job Placement,DevOps Engineer,promo_event,45-54,Other,154.253.248.224,POST,10/9/2024 21:03
3/10/2025,2:28:16,USA,North America,Job Placement,DevOps Engineer,job_posting,45-54,Other,8.97.139.47,GET,3/10/2025 2:28
10/29/2024,2:37:26,Papua New Guinea,Oceania,Job Placement,DevOps Engineer,dashboard,35-44,Female,215.226.29.168,POST,10/29/2024 2:37
4/3/2025,17:19:43,Chile,South America,Job Placement,DevOps Engineer,promo_event,25-34,Other,7.0.84.40,POST,4/3/2025 17:19
4/26/2025,20:20:03,New Zealand,Oceania,Job Placement,DevOps Engineer,ai_virtual_assistant,45-54,Male,59.166.246.127,GET,4/26/2025 20:20
7/23/2024,21:10:33,Fiji,Oceania,Demo Request,DevOps Engineer,dashboard,25-34,Female,82.157.39.72,GET,7/23/2024 21:10
6/18/2024,13:47:02,Netherlands,Europe,Job Placement,Software Developer,job_posting,65+,Female,172.70.141.199,GET,6/18/2024 13:47
5/22/2024,9:31:43,Argentina,South America,Event Request,System Admin,dashboard,18-24,Female,98.138.98.110,GET,5/22/2024 9:31
2/5/2025,0:58:35,USA,North America,Event Request,AI Specialist,promo_event,55-64,Male,163.204.146.40,POST,2/5/2025 0:58
8/7/2024,12:48:29,USA,North America,Demo Request,Software Developer,ai_virtual_assistant,18-24,Female,167.69.245.206,GET,8/7/2024 12:48
6/25/2024,16:15:40,Guatemala,North America,Job Placement,DevOps Engineer,dashboard,45-54,Male,94.190.205.178,GET,6/25/2024 16:15
7/7/2024,0:41:03,Indonesia,Asia,AI Assistant Request,System Admin,promo_event,45-54,Male,113.58.177.155,GET,7/7/2024 0:41
12/9/2024,12:47:43,South Korea,Asia,AI Assistant Request,DevOps Engineer,promo_event,25-34,Female,34.48.182.93,GET,12/9/2024 12:47
2/27/2025,2:38:48,Brazil,South America,Demo Request,Project Manager,promo_event,65+,Male,176.13.69.71,GET,2/27/2025 2:38
10/12/2024,23:29:21,Guatemala,North America,Demo Request,AI Specialist,scheduled_demo,35-44,Other,54.116.179.249,GET,10/12/2024 23:29
6/19/2024,17:44:54,New Zealand,Oceania,Event Request,Data Analyst,report_generator,65+,Other,144.240.21.62,GET,6/19/2024 17:44
8/27/2024,9:14:43,Papua New Guinea,Oceania,AI Assistant Request,AI Specialist,report_generator,25-34,Male,158.131.78.49,POST,8/27/2024 9:14
9/26/2024,8:37:45,Japan,Asia,Job Placement,Software Developer,dashboard,65+,Male,186.119.81.164,POST,9/26/2024 8:37
1/14/2025,2:53:17,Indonesia,Asia,AI Assistant Request,Software Developer,scheduled_demo,35-44,Other,140.190.103.253,POST,1/14/2025 2:53
6/15/2024,1:20:48,Cuba,North America,AI Assistant Request,Data Analyst,promo_event,25-34,Other,43.163.121.159,GET,6/15/2024 1:20
8/18/2024,8:41:37,Ghana,Africa,Demo Request,AI Specialist,promo_event,45-54,Male,186.78.182.79,GET,8/18/2024 8:41
5/13/2025,18:37:02,Italy,Europe,Event Request,Project Manager,ai_virtual_assistant,65+,Male,82.46.244.43,POST,5/13/2025 18:37
8/22/2024,16:34:01,Guatemala,North America,AI Assistant Request,AI Specialist,dashboard,65+,Female,37.208.96.177,GET,8/22/2024 16:34
8/5/2024,9:46:54,USA,North America,AI Assistant Request,System Admin,ai_virtual_assistant,18-24,Male,222.222.121.70,POST,8/5/2024 9:46
12/31/2024,20:01:21,South Africa,Africa,Demo Request,Software Developer,dashboard,18-24,Other,192.187.157.116,GET,12/31/2024 20:01
7/3/2024,5:25:47,UK,Europe,Job Placement,AI Specialist,dashboard,18-24,Other,110.130.230.221,GET,7/3/2024 5:25
1/30/2025,2:25:32,India,Asia,Job Placement,DevOps Engineer,promo_event,25-34,Other,27.142.138.27,POST,1/30/2025 2:25
6/2/2024,19:17:53,USA,North America,AI Assistant Request,DevOps Engineer,scheduled_demo,25-34,Other,30.93.97.121,GET,6/2/2024 19:17
8/10/2024,13:54:03,Germany,Europe,AI Assistant Request,System Admin,dashboard,55-64,Male,165.155.22.225,GET,8/10/2024 13:54
6/23/2024,17:52:09,Italy,Europe,Event Request,AI Specialist,promo_event,65+,Other,222.98.135.238,GET,6/23/2024 17:52
4/20/2025,20:05:25,Canada,North America,AI Assistant Request,DevOps Engineer,promo_event,45-54,Male,113.140.71.39,POST,4/20/2025 20:05
